matchup_id,home_team,home_team_ranking,home_team_box,away_team,away_team_ranking,away_team_box,url,neutral,winner
0,Eastern Michigan,0,0,Albion,0,1,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868644.html,False,True
1,Central Michigan,0,2,Manchester,0,3,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868647.html,False,False
2,VMI,0,4,Citadel,0,5,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868650.html,False,True
3,Oklahoma,0,6,Alabama,0,7,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868653.html,True,True
4,Chattanooga,0,8,Covenant,0,9,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868655.html,False,False
5,North Texas,0,10,Northwood (TX),0,11,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore880928.html,False,True
6,VCU,15,12,Illinois St.,0,13,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868658.html,False,True
7,Clemson,0,14,Stetson,0,15,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868660.html,False,True
8,Duke,4,16,Davidson,0,17,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868662.html,False,False
9,Old Dominion,0,18,Missouri St.,0,19,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868664.html,False,False
10,George Washington,0,20,Radford,0,21,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868666.html,False,True
11,Campbell,0,22,Shenandoah,0,23,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868668.html,False,True
12,Howard,0,24,Washington College,0,25,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868670.html,False,True
13,Xavier,0,26,Gardner-Webb,0,27,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868672.html,False,True
14,Marshall,0,28,South Carolina State,0,29,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868674.html,False,True
15,Kentucky,1,30,N.C. Asheville,0,31,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868676.html,False,True
16,Richmond,0,32,Delaware,0,33,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868678.html,False,True
17,George Mason,0,34,American U.,0,35,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868680.html,False,True
18,Hofstra,0,36,Monmouth-NJ,0,37,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868682.html,False,False
19,Indiana,24,38,Chicago St.,0,39,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868684.html,False,False
20,Kent St.,0,40,Ohio Northern,0,41,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868686.html,False,True
21,Pittsburgh,0,42,Savannah State,0,43,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868689.html,False,True
22,Michigan,9,44,Massachusetts Lowell,0,45,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore873756.html,False,True
23,Charlotte,0,46,East Tennessee St.,0,47,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868691.html,False,True
24,Elon University,0,48,Washington & Lee,0,49,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868693.html,False,False
25,Rutgers,0,50,Florida A&M,0,51,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868695.html,False,True
26,Towson,0,52,Navy,0,53,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868697.html,False,True
27,Loyola Marymount,0,54,Grand Canyon,0,55,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868699.html,True,True
28,Rhode Island,0,56,Maine,0,57,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868701.html,False,True
29,Illinois,0,58,Alabama St.,0,59,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868703.html,False,True
30,Akron,0,60,Coastal Carolina,0,61,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868705.html,False,True
31,Texas A&M,0,62,Buffalo,0,63,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868707.html,False,True
32,Bradley,0,64,Jacksonville St.,0,65,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868709.html,False,True
33,Cincinnati,0,66,North Carolina Central,0,67,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868711.html,False,True
34,Creighton,0,68,Alcorn St.,0,69,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868713.html,False,False
35,Liberty,0,70,Randolph,0,71,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868715.html,False,True
36,Texas,0,72,Mercer,0,73,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868717.html,False,True
37,North Dakota State,0,74,Viterbo,0,75,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868719.html,False,True
38,Minnesota,0,76,Lehigh,0,77,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868721.html,False,True
39,Northern Illinois,0,78,Nebraska Omaha,0,79,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868723.html,False,False
40,Arizona St.,0,80,MD Baltimore Cty,0,81,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868725.html,False,True
41,Missouri,0,82,Southeastern Louisiana,0,83,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868727.html,False,True
42,East Carolina,0,84,NC-Wesleyan,0,85,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868729.html,False,True
43,Texas Tech,0,86,Houston Baptist,0,87,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868731.html,False,True
44,Mississippi St.,0,88,Prairie View A&M,0,89,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868733.html,False,True
45,Charleston Southern,0,90,Johnson University,0,91,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore880930.html,False,False
46,Austin Peay,0,92,Oakland City,0,93,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868646.html,False,True
47,Central Florida,0,94,Tampa,0,95,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868735.html,False,True
48,Mississippi,0,96,Troy,0,97,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868737.html,False,True
49,Valparaiso,0,98,Murray St.,0,99,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868739.html,False,True
50,Northwestern St.,0,100,LeTourneau,0,101,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore873743.html,False,True
51,Southern Utah,0,102,Arizona Christian,0,103,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore880931.html,False,True
52,North Carolina,11,104,Oakland,0,105,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868741.html,False,True
53,Tulane,0,106,New Jersey Tech,0,107,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868743.html,False,True
54,Houston,0,108,Texas State,0,109,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868745.html,False,True
55,Utah St.,0,110,Southern California,0,111,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868747.html,False,True
56,Iowa,0,112,NC-Wilmington,0,113,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868749.html,False,True
57,Miami-Florida,0,114,St. Francis (NY),0,115,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868751.html,False,False
58,Stanford,0,116,Bucknell,0,117,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868753.html,False,True
59,UC Irvine,0,118,Fresno St.,0,119,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868755.html,False,False
60,Arizona,5,120,Cal Poly SLO,0,121,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868757.html,False,True
61,Santa Clara,0,122,Bethesda University,0,123,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore880932.html,False,True
62,San Diego St.,0,124,UC Riverside,0,125,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868648.html,False,True
63,Nevada,0,126,Pacific,0,127,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868759.html,False,False
64,Portland,0,128,UC Davis,0,129,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868761.html,False,False
65,Hawaii,0,130,Tennessee St.,0,131,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868763.html,False,True
66,California,0,132,Coppin St.,0,133,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868765.html,False,True
67,New Mexico St.,0,134,Western Michigan,0,135,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore873760.html,True,False
68,Army,0,136,Air Force,0,137,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868645.html,True,False
69,Florida,8,138,North Florida,0,139,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868649.html,False,True
70,UMKC,0,140,Emporia State,0,141,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868652.html,False,False
71,Eastern Kentucky,0,142,Florida International,0,143,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868654.html,True,True
72,Providence,0,144,Boston College,0,145,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2013-2014/boxscore868656.html,False,True
