matchup_id,home_first,home_second,home_ot,home_total,away_first,away_second,away_ot,away_total
0,32.0,54.0,0.0,86.0,32.0,54.0,0.0,62.0
1,32.0,32.0,0.0,64.0,32.0,32.0,0.0,52.0
2,62.0,48.0,0.0,110.0,62.0,48.0,0.0,53.0
3,32.0,34.0,0.0,66.0,32.0,34.0,0.0,65.0
4,42.0,42.0,0.0,84.0,42.0,42.0,0.0,62.0
5,48.0,37.0,0.0,85.0,48.0,37.0,0.0,69.0
6,35.0,46.0,0.0,81.0,35.0,46.0,0.0,75.0
7,37.0,43.0,0.0,80.0,37.0,43.0,0.0,69.0
8,42.0,46.0,0.0,88.0,42.0,46.0,0.0,48.0
9,43.0,37.0,0.0,80.0,43.0,37.0,0.0,40.0
10,43.0,33.0,0.0,76.0,43.0,33.0,0.0,52.0
11,42.0,31.0,0.0,73.0,42.0,31.0,0.0,52.0
12,25.0,32.0,0.0,57.0,25.0,32.0,0.0,58.0
13,47.0,45.0,0.0,92.0,47.0,45.0,0.0,55.0
14,31.0,30.0,0.0,61.0,31.0,30.0,0.0,48.0
15,37.0,36.0,0.0,73.0,37.0,36.0,0.0,70.0
16,51.0,43.0,0.0,94.0,51.0,43.0,0.0,54.0
17,36.0,40.0,0.0,76.0,36.0,40.0,0.0,53.0
18,46.0,49.0,0.0,95.0,46.0,49.0,0.0,90.0
19,16.0,34.0,0.0,50.0,16.0,34.0,0.0,77.0
20,45.0,32.0,0.0,77.0,45.0,32.0,0.0,54.0
21,21.0,43.0,0.0,64.0,21.0,43.0,0.0,54.0
22,28.0,38.0,0.0,66.0,28.0,38.0,0.0,53.0
23,35.0,39.0,0.0,74.0,35.0,39.0,0.0,55.0
24,45.0,39.0,0.0,84.0,45.0,39.0,0.0,49.0
25,42.0,38.0,0.0,80.0,42.0,38.0,0.0,73.0
26,54.0,62.0,0.0,116.0,54.0,62.0,0.0,65.0
27,48.0,33.0,0.0,81.0,48.0,33.0,0.0,56.0
28,48.0,51.0,0.0,99.0,48.0,51.0,0.0,81.0
29,43.0,54.0,0.0,97.0,43.0,54.0,0.0,58.0
30,23.0,17.0,0.0,40.0,23.0,17.0,0.0,37.0
31,38.0,41.0,0.0,79.0,38.0,41.0,0.0,36.0
32,30.0,38.0,0.0,68.0,30.0,38.0,0.0,81.0
33,48.0,36.0,0.0,84.0,48.0,36.0,0.0,78.0
34,38.0,39.0,0.0,77.0,38.0,39.0,0.0,60.0
35,45.0,30.0,0.0,75.0,45.0,30.0,0.0,49.0
36,35.0,50.0,0.0,85.0,35.0,50.0,0.0,57.0
37,30.0,36.0,0.0,66.0,30.0,36.0,0.0,77.0
38,38.0,29.0,0.0,67.0,38.0,29.0,0.0,44.0
39,32.0,32.0,0.0,64.0,32.0,32.0,0.0,58.0
40,35.0,48.0,0.0,83.0,35.0,48.0,0.0,55.0
41,29.0,46.0,0.0,75.0,29.0,46.0,0.0,86.0
42,55.0,54.0,0.0,109.0,55.0,54.0,0.0,68.0
43,34.0,57.0,0.0,91.0,34.0,57.0,0.0,61.0
44,28.0,37.0,0.0,65.0,28.0,37.0,0.0,58.0
45,34.0,30.0,2.0,66.0,34.0,30.0,15.0,79.0
46,50.0,54.0,0.0,104.0,50.0,54.0,0.0,56.0
47,40.0,52.0,0.0,92.0,40.0,52.0,0.0,74.0
48,28.0,43.0,0.0,71.0,28.0,43.0,0.0,53.0
49,37.0,37.0,0.0,74.0,37.0,37.0,0.0,57.0
50,32.0,38.0,0.0,70.0,32.0,38.0,0.0,58.0
51,30.0,41.0,0.0,71.0,30.0,41.0,0.0,54.0
52,41.0,32.0,0.0,73.0,41.0,32.0,0.0,58.0
53,27.0,37.0,0.0,64.0,27.0,37.0,0.0,53.0
54,38.0,47.0,0.0,85.0,38.0,47.0,0.0,50.0
55,38.0,31.0,0.0,69.0,38.0,31.0,0.0,45.0
56,53.0,52.0,0.0,105.0,53.0,52.0,0.0,64.0
57,31.0,49.0,0.0,80.0,31.0,49.0,0.0,71.0
58,40.0,36.0,0.0,76.0,40.0,36.0,0.0,66.0
59,55.0,49.0,0.0,104.0,55.0,49.0,0.0,77.0
60,44.0,54.0,0.0,98.0,44.0,54.0,0.0,68.0
61,60.0,44.0,0.0,104.0,60.0,44.0,0.0,58.0
62,35.0,36.0,0.0,71.0,35.0,36.0,0.0,59.0
63,38.0,33.0,0.0,71.0,38.0,33.0,0.0,54.0
64,44.0,39.0,0.0,83.0,44.0,39.0,0.0,62.0
65,29.0,43.0,0.0,72.0,29.0,43.0,0.0,61.0
66,53.0,37.0,0.0,90.0,53.0,37.0,0.0,56.0
67,46.0,47.0,0.0,93.0,46.0,47.0,0.0,54.0
68,22.0,38.0,39.0,99.0,22.0,38.0,40.0,100.0
69,37.0,40.0,0.0,77.0,37.0,40.0,0.0,65.0
70,32.0,35.0,0.0,67.0,32.0,35.0,0.0,54.0
71,50.0,41.0,0.0,91.0,50.0,41.0,0.0,57.0
72,35.0,55.0,0.0,90.0,35.0,55.0,0.0,72.0
73,40.0,46.0,0.0,86.0,40.0,46.0,0.0,50.0
74,40.0,47.0,0.0,87.0,40.0,47.0,0.0,36.0
75,33.0,20.0,0.0,53.0,33.0,20.0,0.0,62.0
76,41.0,38.0,0.0,79.0,41.0,38.0,0.0,58.0
77,36.0,38.0,0.0,74.0,36.0,38.0,0.0,59.0
78,60.0,53.0,0.0,113.0,60.0,53.0,0.0,78.0
79,55.0,45.0,0.0,100.0,55.0,45.0,0.0,52.0
80,26.0,37.0,0.0,63.0,26.0,37.0,0.0,71.0
81,38.0,29.0,21.0,88.0,38.0,29.0,18.0,85.0
82,57.0,56.0,0.0,113.0,57.0,56.0,0.0,44.0
83,42.0,26.0,0.0,68.0,42.0,26.0,0.0,45.0
84,31.0,35.0,0.0,66.0,31.0,35.0,0.0,56.0
85,42.0,41.0,0.0,83.0,42.0,41.0,0.0,29.0
86,25.0,32.0,0.0,57.0,25.0,32.0,0.0,56.0
87,48.0,45.0,0.0,93.0,48.0,45.0,0.0,60.0
88,61.0,45.0,0.0,106.0,61.0,45.0,0.0,64.0
89,17.0,40.0,8.0,65.0,17.0,40.0,9.0,66.0
90,45.0,34.0,0.0,79.0,45.0,34.0,0.0,53.0
91,30.0,41.0,0.0,71.0,30.0,41.0,0.0,46.0
92,28.0,30.0,0.0,58.0,28.0,30.0,0.0,50.0
93,36.0,53.0,0.0,89.0,36.0,53.0,0.0,42.0
94,28.0,36.0,0.0,64.0,28.0,36.0,0.0,58.0
