matchup_id,date,city,state,country,arena,attendance
0,2014-11-14 11:00:00,Cheney,Washington,,Reese Court,1623.0
1,2014-11-14 13:30:00,Ypsilanti,Michigan,,Convocation Center,2859.0
2,2014-11-14 17:30:00,Chattanooga,Tennessee,,McKenzie Arena,3426.0
3,2014-11-14 17:30:00,West Point,New York,,Christl Arena,
4,2014-11-14 18:00:00,Denton,Texas,,UNT Coliseum,1442.0
5,2014-11-14 18:30:00,Annapolis,Maryland,,Alumni Hall,5699.0
6,2014-11-14 18:30:00,Los Angeles,California,,Albert Gersten Pavilion,1362.0
7,2014-11-14 19:00:00,Winston-Salem,North Carolina,,Lawrence Joel Veterans Memorial Coliseum,9834.0
8,2014-11-14 19:00:00,Macon,Georgia,,Hawkins Arena,3500.0
9,2014-11-14 19:00:00,West Lafayette,Indiana,,Mackey Arena,10430.0
10,2014-11-14 19:00:00,Dayton,Ohio,,University of Dayton Arena,12732.0
11,2014-11-14 19:00:00,Boston,Massachusetts,,Lavietes Pavilion,1941.0
12,2014-11-14 19:00:00,Philadelphia,Pennsylvania,,Hagan Arena,4200.0
13,2014-11-14 19:00:00,Columbus,Ohio,,Value City Arena,13256.0
14,2014-11-14 19:00:00,University Park,Pennsylvania,,Bryce Jordan Center,7402.0
15,2014-11-14 19:00:00,Dayton,Ohio,,Ervin J. Nutter Center,5437.0
16,2014-11-14 19:00:00,Kingston,Rhode Island,,Thomas M. Ryan Center,4210.0
17,2014-11-14 19:00:00,Richmond,Kentucky,,McBrayer Arena,3950.0
18,2014-11-14 19:00:00,Provo,Utah,,Marriott Center,16778.0
19,2014-11-14 19:00:00,Moon Township,Pennsylvania,,Charles L. Sewall Center,1262.0
20,2014-11-14 19:00:00,Detroit,Michigan,,Calihan Hall,2005.0
21,2014-11-14 19:00:00,Morgantown,West Virginia,,WVU Coliseum,6792.0
22,2014-11-14 19:00:00,Storrs,Connecticut,,Harry A. Gampel Pavilion,10167.0
23,2014-11-14 19:00:00,Huntington,West Virginia,,Henderson Center,5463.0
24,2014-11-14 19:00:00,Coral Gables,Florida,,BankUnited Center,4544.0
25,2014-11-14 19:00:00,Atlanta,Georgia,,McCamish Pavilion,8127.0
