box_score_id,player_id,minutes_played,fg,fg_a,two_pt,two_pt_a,three_pt,three_pt_a,ft,ft_a,o_reb,d_reb,assist,pf,stl,to,blk,pts
8,790932,27,5,10,3,5,2,5,1,2,1,1,5,3,1,1,0,13
8,774936,17,1,4,1,4,0,0,10,12,5,5,0,1,0,3,0,12
8,786803,27,3,6,2,4,1,2,0,3,0,3,5,3,1,1,0,7
8,781345,26,0,2,0,2,0,0,1,2,0,6,2,1,1,1,1,1
8,786805,20,0,6,0,4,0,2,1,2,0,1,1,4,0,1,0,1
8,786804,19,5,5,0,0,5,5,2,2,0,0,0,2,3,4,1,17
8,790931,12,3,5,1,3,2,2,0,0,0,1,0,1,0,1,0,8
8,796487,5,2,2,0,0,2,2,1,2,0,0,0,1,0,1,0,7
8,796488,8,1,2,0,0,1,2,0,0,0,1,0,0,0,1,0,3
8,790933,14,0,4,0,2,0,2,1,2,0,2,1,3,1,1,0,1
8,790934,12,0,2,0,1,0,1,0,0,0,2,0,1,1,0,0,0
8,780033,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
8,780030,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,796489,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,796490,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,790818,27,4,8,3,5,1,3,2,2,0,1,1,2,1,5,0,11
9,780730,33,2,8,2,5,0,3,6,8,0,4,0,2,1,2,0,10
9,786396,26,2,8,1,4,1,4,2,2,1,3,0,4,0,2,0,7
9,776217,27,3,5,3,5,0,0,0,0,2,4,0,4,0,2,0,6
9,791220,16,0,3,0,1,0,2,2,3,1,2,4,4,2,0,1,2
9,786824,24,2,5,2,4,0,1,2,2,3,4,0,2,1,2,0,6
9,791219,16,1,7,0,3,1,4,0,0,1,7,0,1,1,2,1,3
9,796923,9,1,1,1,1,0,0,0,0,2,1,0,1,0,1,0,2
9,796921,16,0,4,0,1,0,3,0,0,0,1,0,2,0,4,0,0
9,796920,4,0,2,0,1,0,1,0,0,1,0,0,1,0,1,0,0
9,791221,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
10,780163,29,5,12,4,8,1,4,2,3,0,2,4,2,2,0,0,13
10,785742,23,5,8,2,4,3,4,0,0,0,1,5,2,1,3,0,13
10,797243,21,4,9,4,9,0,0,3,5,3,3,2,1,2,5,0,11
10,791366,21,5,7,5,6,0,1,1,1,2,1,0,2,1,1,0,11
10,786155,13,1,5,1,5,0,0,3,5,4,2,0,1,0,0,0,5
10,797241,22,8,8,8,8,0,0,0,0,2,2,0,0,3,1,0,16
10,797242,7,0,2,0,2,0,0,0,0,3,0,0,1,0,0,0,0
