matchup_id,home_team,home_team_ranking,home_team_box,away_team,away_team_ranking,away_team_box,url,neutral,winner
0,Pittsburgh,4,0,Rhode Island,0,1,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796041.html,False,True
1,Illinois,16,2,UC Irvine,0,3,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796043.html,False,True
2,Maryland,0,4,Seattle,0,5,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796042.html,False,False
3,Texas,25,6,Navy,0,7,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796044.html,False,True
4,Pittsburgh,4,8,Illinois-Chicago,0,9,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796045.html,False,True
5,Illinois,16,10,Toledo,0,11,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796047.html,False,True
6,Maryland,0,12,Charleston,0,13,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796046.html,False,True
7,Texas,25,14,Louisiana Tech,0,15,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796048.html,False,True
8,North Texas,0,16,Henderson St,0,17,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796470.html,False,True
9,Portland,0,18,Wis.-Milwaukee,0,19,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796467.html,False,True
10,Tenn-Martin,0,20,MacMurray,0,21,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796469.html,False,True
11,Miami (OH),0,22,Towson,0,23,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796471.html,False,True
12,Florida,11,24,NC-Wilmington,0,25,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796474.html,False,True
13,Boston College,0,26,St. Francis (NY),0,27,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796476.html,False,True
14,Ohio St.,5,28,No.Carolina A&T,0,29,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796478.html,False,False
15,N.C. State,0,30,Tennessee Tech,0,31,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796480.html,False,True
16,Marshall,0,32,West Virginia Tech,0,33,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796482.html,False,True
17,Old Dominion,0,34,Georgetown,21,35,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796484.html,False,False
18,Virginia,0,36,William & Mary,0,37,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796486.html,False,True
19,VMI,0,38,Randolph,0,39,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796488.html,False,False
20,Connecticut,0,40,Stony Brook,0,41,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796490.html,False,True
21,Wake Forest,0,42,Stetson,0,43,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796492.html,False,False
22,Richmond,0,44,Citadel,0,45,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796494.html,False,True
23,La Salle,0,46,Columbia,0,47,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796496.html,False,True
24,North Carolina,9,48,Lipscomb,0,49,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2010-2011/boxscore796498.html,False,True
