matchup_id,home_first,home_second,home_ot,home_total,away_first,away_second,away_ot,away_total
0,37.0,46.0,0.0,83.0,37.0,46.0,0.0,75.0
1,42.0,37.0,0.0,79.0,42.0,37.0,0.0,65.0
2,46.0,59.0,0.0,105.0,46.0,59.0,0.0,76.0
3,29.0,54.0,0.0,83.0,29.0,54.0,0.0,52.0
4,43.0,54.0,0.0,97.0,43.0,54.0,0.0,54.0
5,47.0,37.0,0.0,84.0,47.0,37.0,0.0,45.0
6,37.0,38.0,0.0,75.0,37.0,38.0,0.0,74.0
7,39.0,50.0,0.0,89.0,39.0,50.0,0.0,58.0
8,45.0,47.0,0.0,92.0,45.0,47.0,0.0,66.0
9,40.0,40.0,0.0,80.0,40.0,40.0,0.0,60.0
10,39.0,31.0,0.0,70.0,39.0,31.0,0.0,49.0
11,29.0,31.0,0.0,60.0,29.0,31.0,0.0,57.0
12,37.0,40.0,0.0,77.0,37.0,40.0,0.0,60.0
13,38.0,41.0,0.0,79.0,38.0,41.0,0.0,49.0
14,52.0,50.0,0.0,102.0,52.0,50.0,0.0,61.0
15,37.0,45.0,0.0,82.0,37.0,45.0,0.0,69.0
16,43.0,49.0,0.0,92.0,43.0,49.0,0.0,69.0
17,25.0,34.0,0.0,59.0,25.0,34.0,0.0,62.0
18,28.0,48.0,0.0,76.0,28.0,48.0,0.0,52.0
19,39.0,67.0,0.0,106.0,39.0,67.0,0.0,65.0
20,39.0,40.0,0.0,79.0,39.0,40.0,0.0,52.0
21,33.0,46.0,0.0,79.0,33.0,46.0,0.0,89.0
22,42.0,37.0,0.0,79.0,42.0,37.0,0.0,37.0
23,37.0,45.0,0.0,82.0,37.0,45.0,0.0,71.0
24,43.0,37.0,0.0,80.0,43.0,37.0,0.0,66.0
25,37.0,45.0,0.0,82.0,37.0,45.0,0.0,65.0
26,50.0,40.0,0.0,90.0,50.0,40.0,0.0,30.0
27,32.0,58.0,0.0,90.0,32.0,58.0,0.0,49.0
28,41.0,29.0,0.0,70.0,41.0,29.0,0.0,60.0
29,55.0,46.0,0.0,101.0,55.0,46.0,0.0,86.0
30,38.0,36.0,0.0,74.0,38.0,36.0,0.0,46.0
31,34.0,28.0,0.0,62.0,34.0,28.0,0.0,56.0
32,21.0,49.0,0.0,70.0,21.0,49.0,0.0,56.0
33,27.0,35.0,0.0,62.0,27.0,35.0,0.0,52.0
34,36.0,36.0,0.0,72.0,36.0,36.0,0.0,70.0
