away_team,away_team_ranking,home_team,home_team_ranking,neutral,box_score_url,date
Vermont,0,Eastern Michigan,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902613.html,11/13/2015
McMurry,0,Louisiana-Monroe,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902735.html,11/13/2015
Minnesota Morris,0,North Dakota,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902746.html,11/13/2015
Colorado,0,Iowa St.,7,TRUE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902615.html,11/13/2015
Northwestern St.,0,Mississippi,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902631.html,11/13/2015
South Dakota,0,Wright St.,0,TRUE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902618.html,11/13/2015
Wagner,0,St. John's,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902723.html,11/13/2015
University of the Southwest,0,Abilene Christian,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902749.html,11/13/2015
Johnson Unversity (FL),0,Florida A&M,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore913787.html,11/13/2015
Texas Rio Grande Valley,0,Miami-Florida,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902726.html,11/13/2015
Randolph,0,Longwood,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902728.html,11/13/2015
Presbyterian,0,Furman,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902730.html,11/13/2015
Niagara,0,Old Dominion,0,TRUE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902620.html,11/13/2015
North Carolina,1,Temple,0,TRUE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902622.html,11/13/2015
Colgate,0,George Mason,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902599.html,11/13/2015
Chattanooga,0,Georgia,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902632.html,11/13/2015
North Carolina Central,0,Clemson,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902634.html,11/13/2015
Dartmouth,0,Seton Hall,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902636.html,11/13/2015
N.C. Asheville,0,Tennessee,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902638.html,11/13/2015
Canisius,0,Hofstra,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902605.html,11/13/2015
Prairie View A&M,0,VCU,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902626.html,11/13/2015
Lafayette,0,George Washington,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902628.html,11/13/2015
James Madison,0,Richmond,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902640.html,11/13/2015
Lehigh,0,Syracuse,0,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902642.html,11/13/2015
Florida Atlantic,0,Michigan St,13,FALSE,/basketball/ncaab-boxscores.aspx?page=/data/NCAAB/results/2015-2016/boxscore902644.html,11/13/2015
