matchup_id,date,city,state,country,arena,attendance
0,2010-11-08 19:00:00,Pittsburgh,Pennsylvania,,Petersen Events Center,9256.0
1,2010-11-08 20:00:00,Champaign,Illinois,,Assembly Hall-ILL,15287.0
2,2010-11-08 20:00:00,College Park,Maryland,,Comcast Center,13427.0
3,2010-11-08 21:00:00,Austin,Texas,,Frank Erwin Center,10452.0
4,2010-11-10 19:00:00,Pittsburgh,Pennsylvania,,Petersen Events Center,9148.0
5,2010-11-10 20:00:00,Champaign,Illinois,,Assembly Hall-ILL,15333.0
6,2010-11-10 19:00:00,College Park,Maryland,,Comcast Center,13708.0
7,2010-11-10 21:00:00,Austin,Texas,,Frank Erwin Center,9972.0
8,2010-11-12 13:00:00,Denton,Texas,,UNT Coliseum,3245.0
9,2010-11-12 16:30:00,Portland,Oregon,,Chiles Center,1379.0
10,2010-11-12 18:00:00,Martin,Tennessee,,Skyhawk Arena,1577.0
11,2010-11-12 18:00:00,Oxford,Ohio,,Millett Hall,2221.0
12,2010-11-12 19:00:00,Gainesville,Florida,,Stephen C. O'Connell Center,10573.0
13,2010-11-12 19:00:00,Chestnut Hill,Massachusetts,,Silvio O. Conte Forum,3740.0
14,2010-11-12 19:00:00,Columbus,Ohio,,Value City Arena,13302.0
15,2010-11-12 19:00:00,Raleigh,North Carolina,,RBC Center,15450.0
16,2010-11-12 19:00:00,Huntington,West Virginia,,Cam Henderson Center,5024.0
17,2010-11-12 19:00:00,Norfolk,Virginia,,Ted Constant Convocation Center,8457.0
18,2010-11-12 19:00:00,Charlottesville,Virginia,,John Paul Jones Arena,10003.0
19,2010-11-12 19:00:00,Manassas Park,Virginia,,Cameron Hall,2584.0
20,2010-11-12 19:00:00,Storrs,Connecticut,,Harry A. Gampel Pavilion,8319.0
21,2010-11-12 19:00:00,Winston-Salem,North Carolina,,Lawrence Joel Veterans Memorial Coliseum,8323.0
22,2010-11-12 19:00:00,Richmond,Virginia,,Robins Center,6008.0
23,2010-11-12 19:00:00,Philadelphia,Pennsylvania,,Tom Gola Arena,1812.0
24,2010-11-12 19:00:00,Chapel Hill,North Carolina,,Dean Smith Center,16432.0
25,2010-11-12 19:00:00,Lynchburg,Virginia,,Vines Center,3717.0
26,2010-11-12 19:00:00,Durham,North Carolina,,McLendon-McDougald Gymnasium,2011.0
27,2010-11-12 19:00:00,Morehead,Kentucky,,Ellis T. Johnson Arena,1212.0
28,2010-11-12 19:30:00,Blacksburg,Virginia,,Cassell Coliseum,9806.0
29,2010-11-12 19:30:00,Richmond,Virginia,,The Siegel Center,7094.0
30,2010-11-12 19:30:00,Greenville,North Carolina,,Williams Arena at Minges Coliseum,4248.0
31,2010-11-12 19:30:00,Philadelphia,Pennsylvania,,Liacouras Center,8368.0
32,2010-11-12 19:30:00,University Park,Pennsylvania,,Bryce Jordan Center,5996.0
33,2010-11-12 19:30:00,Washington,District of Columbia,,Bender Arena,2813.0
34,2010-11-12 19:30:00,Athens,Georgia,,Stegeman Coliseum,6728.0
35,2010-11-12 19:30:00,Atlanta,Georgia,,Alexander Memorial Coliseum,5781.0
36,2010-11-12 19:30:00,Kennesaw,Georgia,,Convocation Center,1211.0
37,2010-11-12 20:00:00,Peoria,Illinois,,Carver Arena,8014.0
38,2010-11-12 20:00:00,Savannah,Georgia,,Tiger Arena,2172.0
39,2010-11-12 20:00:00,Nacogdoches,Texas,,William R. Johnson Coliseum,2687.0
40,2010-11-12 20:00:00,Houston,Texas,,Hofheinz Pavilion,2622.0
41,2010-11-12 20:00:00,Arlington,Texas,,Texas Hall,1003.0
42,2010-11-12 20:00:00,Grand Forks,North Dakota,,Betty Engelstad Sioux Center,1619.0
43,2010-11-12 20:00:00,Lubbock,Texas,,United Spirit Arena,9603.0
44,2010-11-12 20:00:00,Starkville,Mississippi,,Humphrey Coliseum,4771.0
45,2010-11-12 20:00:00,Lawrence,Kansas,,Allen Fieldhouse,16300.0
46,2010-11-12 20:00:00,Bronx,New York,,Rose Hill Gymnasium,2244.0
47,2010-11-12 20:00:00,Murfreesboro,Tennessee,,Murphy Center,2806.0
48,2010-11-12 20:00:00,Macomb,Illinois,,Western Hall,1472.0
49,2010-11-12 20:00:00,Charleston,Illinois,,Lantz Arena,1142.0
50,2010-11-12 20:00:00,Oxford,Mississippi,,Tad Smith Coliseum,4884.0
51,2010-11-12 20:05:00,Omaha,Nebraska,,Qwest Center Omaha,15141.0
52,2010-11-12 20:05:00,Lafayette,Louisiana,,The Cajundome,3488.0
53,2010-11-12 20:05:00,Valparaiso,Indiana,,Athletics-Recreation Center,3078.0
54,2010-11-12 20:30:00,South Bend,Indiana,,Joyce Center,8165.0
55,2010-11-12 20:30:00,East Lansing,Michigan,,Jack Breslin Student Events Center,14797.0
56,2010-11-12 20:30:00,Buffalo,New York,,Koessler Athletic Center,2196.0
57,2010-11-12 20:35:00,Cheney,Washington,,Reese Court,1357.0
58,2010-11-12 21:00:00,Santa Clara,California,,Leavey Center,1788.0
59,2010-11-12 21:00:00,Spokane,Washington,,McCarthey Athletic Center,6000.0
60,2010-11-12 21:00:00,San Antonio,Texas,,Convocation Center,1789.0
61,2010-11-12 21:00:00,Provo,Utah,,Marriott Center,22700.0
62,2010-11-12 21:00:00,Morgantown,West Virginia,,WVU Coliseum,12707.0
63,2010-11-12 21:00:00,Orem,Utah,,McKay Events Center,2115.0
64,2010-11-12 21:00:00,Milwaukee,Wisconsin,,Bradley Center,14046.0
65,2010-11-12 21:00:00,Auburn,Alabama,,Beard-Eaves-Memorial Coliseum,9121.0
66,2010-11-12 21:00:00,Salt Lake City,Utah,,Huntsman Center,
67,2010-11-12 21:00:00,Houston,Texas,,Tudor Fieldhouse,1726.0
68,2010-11-12 21:30:00,Waco,Texas,,The Ferrell Center,7242.0
69,2010-11-12 21:35:00,Springfield,Missouri,,John Q. Hammons Student Center,7010.0
70,2010-11-12 22:00:00,Boulder,Colorado,,Coors Events Center,6874.0
71,2010-11-12 22:00:00,Eugene,Oregon,,McArthur Court,6523.0
72,2010-11-12 22:30:00,Los Angeles,California,,Pauley Pavilion,6687.0
