team_1,team_2,winner,next,team_1_prev,team_2_prev
UTSA,Alabama St.,0,4-0,,
UAB,Clemson,1,6-0,,
USC,VCU,1,24-0,,
UNC Asheville,UALB,0,28-0,,
Ohio St.,UTSA,0,36-0,,0-
George Mason,Villanova,0,36-1,,
West Virginia,Clemson,0,37-0,,1-
Kentucky,Princeton,0,37-1,,
Xavier,Marquette,1,38-0,,
Syracuse,Indiana St.,0,38-1,,
Washington,Georgia,0,39-0,,
North Carolina,Long Island,0,39-1,,
Duke,Hampton,0,40-0,,
Michigan,Tennessee,0,40-1,,
Arizona,Memphis,0,41-0,,
Texas,Oakland,0,41-1,,
Cincinnati,Missouri,0,42-0,,
Connecticut,Bucknell,0,42-1,,
Temple,Penn St.,0,43-0,,
SDSU,Northern Colorado,0,43-1,,
Kansas,Boston U,0,44-0,,
UNLV,Illinois,1,44-1,,
Vanderbilt,Richmond,1,45-0,,
Louisville,Morehead St.,1,45-1,,
Georgetown,VCU,1,46-0,,2-
Purdue,St. Peter's,0,46-1,,
Texas A&M,Florida St.,1,47-0,,
Notre Dame,Akron,0,47-1,,
Pittsburgh,UNC Asheville,0,48-0,,3-
Butler,Old Dominion,0,48-1,,
Kansas St.,Utah St.,0,49-0,,
Wisconsin,Belmont,0,49-1,,
St. John's (NY),Conzaga,1,50-0,,
BYU,Wofford,0,50-1,,
UCLA,Michigan St.,0,51-0,,
Florida,UC Santa Barbara,0,51-1,,
Ohio St.,George Mason,0,52-0,4-,5-
West Virginia,Kentucky,1,52-1,6-,7-
Marquette,Syracuse,0,53-0,8-,9-
Washington,North Carolina,1,53-1,10-,11-
Duke,Michigan,0,54-0,12-,13-
Arizona,Texas,0,54-1,14-,15-
Cincinnati,Connecticut,1,55-0,16-,17-
Temple,SDSU,1,55-1,18-,19-
Kansas,Illinois,0,56-0,20-,21-
Richmond,Morehead St.,0,56-1,22-,23-
VCU,Purdue,0,57-0,24-,25-
Florida St.,Notre Dame,0,57-1,26-,27-
Pittsburgh,Butler,1,58-0,28-,29-
Kansas St.,Wisconsin,1,58-1,30-,31-
Gonzaga,BYU,1,59-0,32-,33-
UCLA,Florida,1,59-1,34-,35-
Ohio St.,Kentucky,1,60-0,36-,37-
Marquette,North Carolina,1,60-1,38-,39-
Duke,Arizona,1,61-0,40-,41-
Connecticut,SDSU,0,61-1,42-,43-
Kansas,Richmond,0,62-0,44-,45-
VCU,Florida St.,0,62-1,46-,47-
Butler,Wisconsin,0,63-0,48-,49-
BYU,Florida,1,63-1,50-,51-
Kentucky,North Carolina,0,64-0,52-,53-
Arizona,Connecticut,1,64-1,54-,55-
Kansas,VCU,1,65-0,56-,57-
Butler,Florida,1,65-1,58-,59-
Kentucky,Connecticut,1,66-0,60-,61-
VCU,Butler,1,66-1,62-,63-
Connecticut,Butler,0,,64-,65-
