team_1,team_2,winner,next,team_1_prev,team_2_prev
UTSA,Alabama St.,,4-0,,
UAB,Clemson,,6-0,,
USC,VCU,,24-0,,
UNC Asheville,UALB,,28-0,,
Ohio St.,,,36-0,,0-
George Mason,Villanova,,36-1,,
West Virginia,,,37-0,,1-
Kentucky,Princeton,,37-1,,
Xavier,Marquette,,38-0,,
Syracuse,Indiana St.,,38-1,,
Washington,Georgia,,39-0,,
North Carolina,Long Island,,39-1,,
Duke,Hampton,,40-0,,
Michigan,Tennessee,,40-1,,
Arizona,Memphis,,41-0,,
Texas,Oakland,,41-1,,
Cincinnati,Missouri,,42-0,,
Connecticut,Bucknell,,42-1,,
Temple,Penn St.,,43-0,,
SDSU,Northern Colorado,,43-1,,
Kansas,Boston U,,44-0,,
UNLV,Illinois,,44-1,,
Vanderbilt,Richmond,,45-0,,
Louisville,Morehead St.,,45-1,,
Georgetown,,,46-0,,2-
Purdue,St. Peter's,,46-1,,
Texas A&M,Florida St.,,47-0,,
Notre Dame,Akron,,47-1,,
Pittsburgh,,,48-0,,3-
Butler,Old Dominion,,48-1,,
Kansas St.,Utah St.,,49-0,,
Wisconsin,Belmont,,49-1,,
St. John's (NY),Conzaga,,50-0,,
BYU,Wofford,,50-1,,
UCLA,Michigan St.,,51-0,,
Florida,UC Santa Barbara,,51-1,,
,,,52-0,4-,5-
,,,52-1,6-,7-
,,,53-0,8-,9-
,,,53-1,10-,11-
,,,54-0,12-,13-
,,,54-1,14-,15-
,,,55-0,16-,17-
,,,55-1,18-,19-
,,,56-0,20-,21-
,,,56-1,22-,23-
,,,57-0,24-,25-
,,,57-1,26-,27-
,,,58-0,28-,29-
,,,58-1,30-,31-
,,,59-0,32-,33-
,,,59-1,34-,35-
,,,60-0,36-,37-
,,,60-1,38-,39-
,,,61-0,40-,41-
,,,61-1,42-,43-
,,,62-0,44-,45-
,,,62-1,46-,47-
,,,63-0,48-,49-
,,,63-1,50-,51-
,,,64-0,52-,53-
,,,64-1,54-,55-
,,,65-0,56-,57-
,,,65-1,58-,59-
,,,66-0,60-,61-
,,,66-1,62-,63-
,,,,64-,65-
